Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,PGN LABEL,PGN
-281541000,08FFF832,TRUE,Rx,0,8,AF,0,0,0,0,FF,FF,FF,Proprietary B,FFF8
-281541000,0CF00400,TRUE,Rx,0,8,F0,FF,92,24,1C,FF,F0,FF,Electronic Engine Controller 1,F004
-281541000,18EFFF00,TRUE,Rx,0,8,64,10,11,11,74,7,0,7D,Proprietary A,EFFF
-281540000,18FEF600,TRUE,Rx,0,8,FF,0B,44,FF,7,FF,FF,FF,Intake/Exhaust Conditions 1,FEF6
-281540000,04FF5205,TRUE,Rx,0,8,DF,64,7D,E8,D0,0,FF,FC,Proprietary B,FF52
-281540000,0CFF7105,TRUE,Rx,0,8,FF,0,FF,FF,FF,FF,4F,ED,Proprietary B,FF71
-281539000,04FF5105,TRUE,Rx,0,8,7F,0,0,FF,0,A7,F0,FF,Proprietary C,FF51
-281538000,18FFF8BE,TRUE,Rx,0,8,77,FF,0F,FF,FF,FF,FF,86,Proprietary B,FFF8
-281537000,04FF4903,TRUE,Rx,0,8,20,20,0,2,88,13,88,13,Proprietary B,FF49
-281537000,04F00203,TRUE,Rx,0,8,CC,0,0,FF,FF,20,1C,FF,Electronic Transmission Controller 1,F002
-281536000,18EF3117,TRUE,Rx,0,8,F2,0E,0,0,A0,0,0,0,Proprietary A,EF31
-281536000,04FE4A03,TRUE,Rx,0,8,FF,3F,0,7D,FC,FF,FF,FF,Electronic Transmission Controller 7,FE4A
-281534000,10FFFF17,TRUE,Rx,0,8,ED,FC,FF,FF,FF,FF,FF,FF,Proprietary B(last entry),FFFF
-281534000,18EFFF17,TRUE,Rx,0,8,F2,31,FF,FF,DC,F0,FF,FF,Proprietary A,EFFF
-281534000,18EFFF17,TRUE,Rx,0,8,64,19,0,FF,FF,FF,FF,F1,Proprietary A,EFFF
-281532000,10EFAF23,TRUE,Rx,0,8,F0,0D,F2,FF,FF,0,FF,FF,Proprietary A,EFAF
-281532000,0CF00300,TRUE,Rx,0,8,FF,FE,1C,FF,FF,FF,99,FF,Electronic Engine Controller 2,F003
-281532000,04F00332,TRUE,Rx,0,8,FF,0,1C,0,0,FF,FF,FF,Electronic Engine Controller 2,F003
-281531000,0CF00400,TRUE,Rx,0,8,F0,FF,92,2A,1C,FF,F0,FF,Electronic Engine Controller 1,F004
-281531000,10EFAF31,TRUE,Rx,0,8,F0,0D,F1,0,4,FF,FF,FF,Proprietary A,EFAF
-281530000,04FF5205,TRUE,Rx,0,8,DF,64,7D,E8,D4,0,FF,FC,Proprietary B,FF52
-281530000,0CFF7105,TRUE,Rx,0,8,FF,0,FF,FF,FF,FF,5F,F0,Proprietary B,FF71
-281530000,04FF5105,TRUE,Rx,0,8,7F,0,0,FF,0,A7,F0,FF,Proprietary C,FF51
-281528000,04EFFF05,TRUE,Rx,0,8,64,15,D0,F0,7D,17,10,0E,Proprietary A,EFFF
-281528000,08FFFEBE,TRUE,Rx,0,8,AC,FF,FF,F9,F9,FF,5,1,Proprietary B,FFFE
-281528000,10EFAF47,TRUE,Rx,0,8,F0,0D,F2,10,FF,FF,FF,FF,Proprietary A,EFAF
-281527000,08FF4803,TRUE,Rx,0,8,19,19,19,19,5,0,5F,0,Proprietary B,FF48
-281527000,04FF4903,TRUE,Rx,0,8,20,20,0,2,88,13,88,13,Proprietary B,FF49
-281526000,08FF5003,TRUE,Rx,0,8,30,75,30,75,0,0,FE,5B,Proprietary D,FF50
-281526000,04F00203,TRUE,Rx,0,8,CC,0,0,FF,FF,20,1C,FF,Electronic Transmission Controller 1,F002
-281526000,04FE4A03,TRUE,Rx,0,8,FF,3F,0,7D,FC,FF,FF,FF,Electronic Transmission Controller 7,FE4A
-281526000,0800FF03,TRUE,Rx,0,8,DF,80,3E,FA,FF,FF,FF,4,Proprietary E,00FF
-281525000,0CFDD8F6,TRUE,Rx,0,8,1,0,FF,FF,FF,FF,FF,FF,Basic Joystick Message 2,FDD8
-281524000,0CFD9236,TRUE,Rx,0,8,FF,0,0,FF,FF,FF,FF,FF,Engine Operating Information,FD92
-281524000,0CFFF336,TRUE,Rx,0,8,5,C4,3,FF,FF,FF,FF,FF,Proprietary B,FFF3
-281523000,0CFDDA36,TRUE,Rx,0,8,1,0,1,0,FF,0,0,0,Basic Joystick Message 3,FDDA
-281522000,0CF00300,TRUE,Rx,0,8,FF,FE,1C,FF,FF,FF,99,FF,Electronic Engine Controller 2,F003
-281522000,04F00332,TRUE,Rx,0,8,FF,0,1C,0,0,FF,FF,FF,Electronic Engine Controller 2,F003
-281521000,0CF00400,TRUE,Rx,0,8,F0,FF,92,24,1C,FF,F0,FF,Electronic Engine Controller 1,F004
-281520000,04FF5205,TRUE,Rx,0,8,DF,64,7D,E8,D8,0,FF,FC,Proprietary B,FF52
-281520000,0CFF7105,TRUE,Rx,0,8,FF,0,FF,FF,FF,FF,6F,D7,Proprietary B,FF71
-281519000,04FF5105,TRUE,Rx,0,8,7F,0,0,FF,0,A7,F0,FF,Proprietary C,FF51
-281519000,14FFFA05,TRUE,Rx,0,8,1,5,FF,FF,CF,FF,21,3,Proprietary B,FFFA
-281518000,0CFFF823,TRUE,Rx,0,8,80,C0,0,0,0,0,FF,FF,Proprietary B,FFF8
-281517000,04FF4903,TRUE,Rx,0,8,20,20,0,2,88,13,88,13,Proprietary B,FF49
-281517000,04F00203,TRUE,Rx,0,8,CC,0,0,FF,FF,20,1C,FF,Electronic Transmission Controller 1,F002
-281516000,04FE4A03,TRUE,Rx,0,8,FF,3F,0,7D,FC,FF,FF,FF,Electronic Transmission Controller 7,FE4A
-281512000,0CF00300,TRUE,Rx,0,8,FF,FE,1D,FF,FF,FF,99,FF,Electronic Engine Controller 2,F003
-281512000,04F00332,TRUE,Rx,0,8,FF,0,1C,0,0,FF,FF,FF,Electronic Engine Controller 2,F003
-281511000,08FFF832,TRUE,Rx,0,8,0F,0,0,FF,FF,FF,FF,FF,Proprietary B,FFF8
-281511000,0CF00400,TRUE,Rx,0,8,F0,FF,92,12,1C,FF,F0,FF,Electronic Engine Controller 1,F004
-281510000,08FEF105,TRUE,Rx,0,8,FF,0,0,CF,FF,FF,FF,FF,Cruise Control/Vehicle Speed 1,FEF1
-281510000,04FF5205,TRUE,Rx,0,8,DF,64,7D,E8,DC,0,FF,FC,Proprietary B,FF52
-281510000,0CFF7105,TRUE,Rx,0,8,FF,0,FF,FF,FF,FF,7F,CA,Proprietary B,FF71
-281509000,04FF5105,TRUE,Rx,0,8,7F,0,0,FF,0,A7,F0,FF,Proprietary C,FF51
-281508000,04EFFF05,TRUE,Rx,0,8,64,15,D1,F0,7D,17,10,0E,Proprietary A,EFFF
-281508000,18FFF8BE,TRUE,Rx,0,8,71,FF,FF,FE,4,FF,FF,FF,Proprietary B,FFF8
-281508000,10EFAF47,TRUE,Rx,0,8,F0,0D,F3,FF,FF,0,FF,FF,Proprietary A,EFAF
-281507000,08FF4803,TRUE,Rx,0,8,19,19,19,19,5,0,5F,0,Proprietary B,FF48
-281507000,04FF4903,TRUE,Rx,0,8,20,20,0,2,88,13,88,13,Proprietary B,FF49
-281507000,08FF5003,TRUE,Rx,0,8,30,75,30,75,0,0,FE,5B,Proprietary D,FF50
-281506000,04F00203,TRUE,Rx,0,8,CC,0,0,FF,FF,20,1C,FF,Electronic Transmission Controller 1,F002
-281506000,04FE4A03,TRUE,Rx,0,8,FF,3F,0,7D,FC,FF,FF,FF,Electronic Transmission Controller 7,FE4A
-281506000,0800FF03,TRUE,Rx,0,8,DF,80,3E,FA,FF,FF,FF,26,Proprietary E,00FF
-281505000,0CFF4503,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,Proprietary B,FF45
-281503000,0CFDDA36,TRUE,Rx,0,8,1,0,1,0,FF,0,0,0,Basic Joystick Message 3,FDDA
-281503000,18FFFBAF,TRUE,Rx,0,8,0,20,0,0,0,3,FF,FF,Proprietary B,FFFB
-281502000,0CF00300,TRUE,Rx,0,8,FF,FE,1D,FF,FF,FF,99,FF,Electronic Engine Controller 2,F003
-281502000,04F00332,TRUE,Rx,0,8,FF,0,1D,0,0,FF,FF,FF,Electronic Engine Controller 2,F003
-281501000,0CF00400,TRUE,Rx,0,8,F0,FF,92,0E,1C,FF,F0,FF,Electronic Engine Controller 1,F004
-281501000,18F02300,TRUE,Rx,0,8,0,0,F0,FF,FF,0,FF,FF,Aftertreatment 1 SCR Dosing System Information 1,F023
-281501000,18FDC332,TRUE,Rx,0,8,0,FF,0,FF,FF,FF,FF,FF,Electronic Engine Controller 15,FDC3
-281500000,08F00105,TRUE,Rx,0,8,FF,0,FF,CF,0,0,FF,FF,Electronic Brake Controller 1,F001
-281500000,04FF5205,TRUE,Rx,0,8,DF,64,7D,E8,E0,0,FF,FC,Proprietary B,FF52
-281500000,0CFF7105,TRUE,Rx,0,8,FF,0,FF,FF,FF,FF,8F,71,Proprietary B,FF71
-281499000,04FF5105,TRUE,Rx,0,8,7F,0,0,FF,0,A7,F0,FF,Proprietary C,FF51
-281499000,18EFFF05,TRUE,Rx,0,8,F2,24,FC,FF,FF,FF,FF,FF,Proprietary A,EFFF
-281497000,04FF4903,TRUE,Rx,0,8,20,20,0,2,88,13,88,13,Proprietary B,FF49
-281497000,04F00203,TRUE,Rx,0,8,CC,0,0,FF,FF,20,1C,FF,Electronic Transmission Controller 1,F002
-281496000,04FE4A03,TRUE,Rx,0,8,FF,3F,0,7D,FC,FF,FF,FF,Electronic Transmission Controller 7,FE4A
-281496000,0CFDD6D0,TRUE,Rx,0,8,1,0,1,0,FF,FF,FF,FF,Basic Joystick Message 1,FDD6
-281492000,10EFAF23,TRUE,Rx,0,8,F0,0D,F3,0,FF,FF,FF,FF,Proprietary A,EFAF
-281492000,0CF00300,TRUE,Rx,0,8,FF,FE,1D,FF,FF,FF,98,FF,Electronic Engine Controller 2,F003
-281492000,04F00332,TRUE,Rx,0,8,FF,0,1D,0,0,FF,FF,FF,Electronic Engine Controller 2,F003
-281491000,08FFF832,TRUE,Rx,0,8,AF,0,0,0,0,FF,FF,FF,Proprietary B,FFF8
-281491000,0CF00400,TRUE,Rx,0,8,F0,FF,93,10,1C,FF,F0,FF,Electronic Engine Controller 1,F004
-281491000,18EFFF00,TRUE,Rx,0,8,64,7,0,0,FF,3,7C,7A,Proprietary A,EFFF
-281491000,10EFAF31,TRUE,Rx,0,8,F0,0D,F2,FF,0,FF,FF,FF,Proprietary A,EFAF
-281490000,0CEFFF31,TRUE,Rx,0,8,F7,1,FF,FF,FF,FF,FF,FF,Proprietary A,EFFF
-281490000,04FF5205,TRUE,Rx,0,8,DF,64,7D,E8,E4,0,FF,FC,Proprietary B,FF52
-281490000,0CFF7105,TRUE,Rx,0,8,FF,0,FF,FF,FF,FF,9F,6C,Proprietary B,FF71
-281489000,04FF5105,TRUE,Rx,0,8,7F,0,0,FF,0,A7,F0,FF,Proprietary C,FF51
-281489000,18EF2617,TRUE,Rx,0,8,F1,8,0,40,0,0,2,0,Proprietary A,EF26
-281489000,18FEDF00,TRUE,Rx,0,8,83,20,1C,FF,FF,FF,FF,0,Electronic Engine Controller 3,FEDF
-281489000,18FF1905,TRUE,Rx,0,8,8B,0B,FF,FF,FF,FF,FF,FF,Proprietary B,FF19
-281488000,04EFFF05,TRUE,Rx,0,8,64,15,D2,F0,4D,18,10,0E,Proprietary A,EFFF
-281488000,0CFFFEBE,TRUE,Rx,0,8,F3,FF,FF,F0,FF,FF,FF,FF,Proprietary B,FFFE
-281488000,1CFF7205,TRUE,Rx,0,8,0,0,14,1,FF,FF,FF,FF,Proprietary B,FF72
-281487000,08FFFEBE,TRUE,Rx,0,8,AC,FF,FF,F9,F9,FF,5,1,Proprietary B,FFFE
-281487000,08FF4803,TRUE,Rx,0,8,19,19,19,19,5,0,5F,0,Proprietary B,FF48
-281487000,04FF4903,TRUE,Rx,0,8,20,20,0,2,88,13,88,13,Proprietary B,FF49
-281486000,08FF5003,TRUE,Rx,0,8,30,75,30,75,0,0,FE,5B,Proprietary D,FF50
-281486000,04F00203,TRUE,Rx,0,8,CC,0,0,FF,FF,18,1C,FF,Electronic Transmission Controller 1,F002
-281486000,04FE4A03,TRUE,Rx,0,8,FF,3F,0,7D,FC,FF,FF,FF,Electronic Transmission Controller 7,FE4A
-281485000,10EFAF47,TRUE,Rx,0,8,F0,0D,F4,0,FF,FF,FF,FF,Proprietary A,EFAF
-281485000,0800FF03,TRUE,Rx,0,8,DF,80,3E,FA,FF,FF,FF,30,Proprietary E,00FF
-281483000,0CFDDA36,TRUE,Rx,0,8,1,0,1,0,FF,0,0,0,Basic Joystick Message 3,FDDA
-281482000,0CF00300,TRUE,Rx,0,8,FF,FE,1C,FF,FF,FF,98,FF,Electronic Engine Controller 2,F003
-281482000,0CF00400,TRUE,Rx,0,8,F0,FF,93,1A,1C,FF,F0,FF,Electronic Engine Controller 1,F004
-281481000,04F00332,TRUE,Rx,0,8,FF,0,1D,0,0,FF,FF,FF,Electronic Engine Controller 2,F003
-281481000,18FDCD31,TRUE,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,FF,Operator Wiper and Washer Controls Message,FDCD
-281481000,18FECA03,TRUE,Rx,0,8,0,FF,0,0,0,0,FF,FF,Active Diagnostic Trouble Codes,FECA
-281481000,18FEF200,TRUE,Rx,0,8,73,0,FF,FF,FF,FF,FF,FF,Fuel Economy (Liquid),FEF2
-281480000,04FF5205,TRUE,Rx,0,8,DF,64,7D,E8,E8,0,FF,FC,Proprietary B,FF52
-281480000,0CFF7105,TRUE,Rx,0,8,FF,0,FF,FF,FF,FF,AF,4B,Proprietary B,FF71
-281479000,04FF5105,TRUE,Rx,0,8,7F,0,0,FF,0,A7,F0,FF,Proprietary C,FF51
-281478000,18FF19BE,TRUE,Rx,0,8,FF,FF,C7,6C,3B,1,FF,FF,Proprietary B,FF19
-281477000,04FF4903,TRUE,Rx,0,8,20,20,0,2,88,13,88,13,Proprietary B,FF49
-281477000,04F00203,TRUE,Rx,0,8,CC,0,0,FF,FF,18,1C,FF,Electronic Transmission Controller 1,F002
-281476000,04FE4A03,TRUE,Rx,0,8,FF,3F,0,7D,FC,FF,FF,FF,Electronic Transmission Controller 7,FE4A
-281476000,0CFF4003,TRUE,Rx,0,8,3,0,0,0,FF,FF,FF,5,Proprietary B,FF40
-281472000,18EFFF26,TRUE,Rx,0,8,F1,7,0,0,FF,FF,FF,FF,Proprietary A,EFFF
-281472000,0CF00300,TRUE,Rx,0,8,FF,FE,1C,FF,FF,FF,98,FF,Electronic Engine Controller 2,F003
-281472000,04F00332,TRUE,Rx,0,8,FF,0,1C,0,0,FF,FF,FF,Electronic Engine Controller 2,F003
-281471000,0CF00400,TRUE,Rx,0,8,F0,FF,93,20,1C,FF,F0,FF,Electronic Engine Controller 1,F004
-281470000,04FF5205,TRUE,Rx,0,8,DF,64,7D,E8,EC,0,FF,FC,Proprietary B,FF52
-281470000,0CFF7105,TRUE,Rx,0,8,FF,0,FF,FF,FF,FF,BF,56,Proprietary B,FF71
-281470000,04FF5105,TRUE,Rx,0,8,7F,0,0,FF,0,A7,F0,FF,Proprietary C,FF51
-281469000,18FEA847,TRUE,Rx,0,8,7F,FF,FF,FF,FF,FF,FF,FF,Articulation Control,FEA8
-281468000,04EFFF05,TRUE,Rx,0,8,64,15,D3,F0,4D,18,10,0E,Proprietary A,EFFF
-281468000,0CFFF823,TRUE,Rx,0,8,80,C0,0,0,0,0,FF,FF,Proprietary B,FFF8
-281468000,10EFAF47,TRUE,Rx,0,8,F0,0D,F0,10,0,0,FF,FF,Proprietary A,EFAF
-281467000,08FF4803,TRUE,Rx,0,8,19,19,19,19,5,0,5F,0,Proprietary B,FF48
-281467000,04FF4903,TRUE,Rx,0,8,20,20,0,2,88,13,88,13,Proprietary B,FF49
-281466000,08FF5003,TRUE,Rx,0,8,30,75,30,75,0,0,FE,5B,Proprietary D,FF50
-281466000,04F00203,TRUE,Rx,0,8,CC,0,0,FF,FF,18,1C,FF,Electronic Transmission Controller 1,F002
-281466000,04FE4A03,TRUE,Rx,0,8,FF,3F,0,7D,FC,FF,FF,FF,Electronic Transmission Controller 7,FE4A
-281466000,0800FF03,TRUE,Rx,0,8,DF,80,3E,FA,FF,FF,FF,62,Proprietary E,00FF
-281465000,0CFF1E03,TRUE,Rx,0,8,3,0,2,FF,83,F3,F0,5,Proprietary B,FF1E
-281465000,0CFF4103,TRUE,Rx,0,8,FF,FF,FF,FF,FF,85,53,90,Proprietary B,FF41
-281464000,08F00136,TRUE,Rx,0,8,FF,FF,FF,CF,FF,FF,FF,FF,Electronic Brake Controller 1,F001
-281463000,0CFDDA36,TRUE,Rx,0,8,1,0,1,0,FF,0,0,0,Basic Joystick Message 3,FDDA
-281462000,0CF00300,TRUE,Rx,0,8,FF,FE,1C,FF,FF,FF,99,FF,Electronic Engine Controller 2,F003
-281462000,04F00332,TRUE,Rx,0,8,FF,0,1C,0,0,FF,FF,FF,Electronic Engine Controller 2,F003
-281461000,08FFF832,TRUE,Rx,0,8,0F,0,0,FF,FF,FF,FF,FF,Proprietary B,FFF8
-281461000,0CF00400,TRUE,Rx,0,8,F0,FF,93,22,1C,FF,F0,FF,Electronic Engine Controller 1,F004
-281460000,08FEF105,TRUE,Rx,0,8,FF,0,0,CF,FF,FF,FF,FF,Cruise Control/Vehicle Speed 1,FEF1
-281460000,04FF5205,TRUE,Rx,0,8,DF,64,7D,E8,F0,0,FF,FC,Proprietary B,FF52
-281460000,0CFF7105,TRUE,Rx,0,8,FF,0,FF,FF,FF,FF,CF,5,Proprietary B,FF71
-281459000,04FF5105,TRUE,Rx,0,8,7F,0,0,FF,0,A7,F0,FF,Proprietary C,FF51
-281457000,04FF4903,TRUE,Rx,0,8,20,20,0,2,88,13,88,13,Proprietary B,FF49
-281457000,04F00203,TRUE,Rx,0,8,CC,0,0,FF,FF,18,1C,FF,Electronic Transmission Controller 1,F002
-281456000,0CF00503,TRUE,Rx,0,8,7D,FF,FF,7D,FF,FF,FF,FF,Electronic Transmission Controller 2,F005
-281456000,04FE4A03,TRUE,Rx,0,8,FF,3F,0,7D,FC,FF,FF,FF,Electronic Transmission Controller 7,FE4A
-281456000,0CFF4503,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,Proprietary B,FF45
-281454000,18FFFE36,TRUE,Rx,0,8,2,FF,FF,FF,F0,FF,FF,FF,Proprietary B,FFFE
-281452000,10EFAF23,TRUE,Rx,0,8,F0,0D,F4,FF,FF,14,FF,FF,Proprietary A,EFAF
-281452000,0CF00300,TRUE,Rx,0,8,FF,FE,1C,FF,FF,FF,99,FF,Electronic Engine Controller 2,F003
-281451000,04F00332,TRUE,Rx,0,8,FF,0,1C,0,0,FF,FF,FF,Electronic Engine Controller 2,F003
-281451000,0CF00400,TRUE,Rx,0,8,F0,FF,92,22,1C,FF,F0,FF,Electronic Engine Controller 1,F004
-281451000,0CFFFE31,TRUE,Rx,0,8,5,1F,41,13,0,FF,FF,FF,Proprietary B,FFFE
-281451000,10EFAF31,TRUE,Rx,0,8,F0,0D,F3,FF,0,FF,FF,FF,Proprietary A,EFAF
-281450000,0CFE4E31,TRUE,Rx,0,8,F4,FF,FF,FF,FF,FF,FF,FF,Door Control 1,FE4E
-281450000,04FF5205,TRUE,Rx,0,8,DF,64,7D,E8,F4,0,FF,FC,Proprietary B,FF52
-281450000,0CFF7105,TRUE,Rx,0,8,FF,0,FF,FF,FF,FF,DF,18,Proprietary B,FF71
-281449000,04FF5105,TRUE,Rx,0,8,7F,0,0,FF,0,A7,F0,FF,Proprietary C,FF51
-281449000,18F02300,TRUE,Rx,0,8,0,0,F0,FF,FF,0,FF,FF,Aftertreatment 1 SCR Dosing System Information 1,F023
-281449000,18FDC332,TRUE,Rx,0,8,0,FF,0,FF,FF,FF,FF,FF,Electronic Engine Controller 15,FDC3
-281448000,04EFFF05,TRUE,Rx,0,8,64,15,D4,F0,7D,17,10,0E,Proprietary A,EFFF
-281448000,08FFFEBE,TRUE,Rx,0,8,AC,FF,FF,F9,F9,FF,5,1,Proprietary B,FFFE
-281447000,08FF4803,TRUE,Rx,0,8,19,19,19,19,5,0,5F,0,Proprietary B,FF48
-281447000,04FF4903,TRUE,Rx,0,8,20,20,0,2,88,13,88,13,Proprietary B,FF49
-281446000,08FF5003,TRUE,Rx,0,8,30,75,30,75,0,0,FE,5A,Proprietary D,FF50
-281446000,04F00203,TRUE,Rx,0,8,CC,0,0,FF,FF,18,1C,FF,Electronic Transmission Controller 1,F002
-281446000,10EFAF47,TRUE,Rx,0,8,F0,0D,F1,FF,FF,0,FF,FF,Proprietary A,EFAF
-281445000,04FE4A03,TRUE,Rx,0,8,FF,3F,0,7D,FC,FF,FF,FF,Electronic Transmission Controller 7,FE4A
-281445000,0800FF03,TRUE,Rx,0,8,DF,80,3E,FA,FF,FF,FF,4,Proprietary E,00FF
-281443000,0CFDDA36,TRUE,Rx,0,8,1,0,1,0,FF,0,0,0,Basic Joystick Message 3,FDDA
-281442000,0CF00300,TRUE,Rx,0,8,FF,FE,1C,FF,FF,FF,99,FF,Electronic Engine Controller 2,F003
-281442000,08FFF832,TRUE,Rx,0,8,AF,0,0,0,0,FF,FF,FF,Proprietary B,FFF8
-281441000,04F00332,TRUE,Rx,0,8,FF,0,1C,0,0,FF,FF,FF,Electronic Engine Controller 2,F003
-281441000,0CF00400,TRUE,Rx,0,8,F0,FF,92,26,1C,FF,F0,FF,Electronic Engine Controller 1,F004
-281441000,18EFFF00,TRUE,Rx,0,8,64,10,11,11,72,7,0,7D,Proprietary A,EFFF
-281440000,0CFDE605,TRUE,Rx,0,8,0,FA,FF,FF,FF,FF,FF,FF,Hydraulic Braking System,FDE6
-281440000,04FF5205,TRUE,Rx,0,8,DF,64,7D,E8,F8,0,FF,FC,Proprietary B,FF52
-281439000,0CFF7105,TRUE,Rx,0,8,FF,0,FF,FF,FF,FF,EF,3F,Proprietary B,FF71
-281439000,04FF5105,TRUE,Rx,0,8,7F,0,0,FF,0,A7,F0,FF,Proprietary C,FF51
-281437000,04FF4903,TRUE,Rx,0,8,20,20,0,2,88,13,88,13,Proprietary B,FF49
-281437000,04F00203,TRUE,Rx,0,8,CC,0,0,FF,FF,18,1C,FF,Electronic Transmission Controller 1,F002
-281436000,18FECA00,TRUE,Rx,0,6,0,FF,0,0,0,0,0,0,Active Diagnostic Trouble Codes,FECA
-281436000,04FE4A03,TRUE,Rx,0,8,FF,3F,0,7D,FC,FF,FF,FF,Electronic Transmission Controller 7,FE4A
-281432000,04F00332,TRUE,Rx,0,8,FF,0,1C,0,0,FF,FF,FF,Electronic Engine Controller 2,F003
-281431000,0CF00300,TRUE,Rx,0,8,FF,FE,1C,FF,FF,FF,99,FF,Electronic Engine Controller 2,F003
-281431000,0CF00400,TRUE,Rx,0,8,F0,FF,92,2A,1C,FF,F0,FF,Electronic Engine Controller 1,F004
-281430000,04FF5205,TRUE,Rx,0,8,DF,64,7D,E8,C0,0,FF,FC,Proprietary B,FF52
-281430000,0CFF7105,TRUE,Rx,0,8,FF,0,FF,FF,FF,FF,0F,99,Proprietary B,FF71
-281430000,04FF5105,TRUE,Rx,0,8,7F,0,0,FF,0,A7,F0,FF,Proprietary C,FF51
-281429000,04EFFF05,TRUE,Rx,0,8,64,15,D5,F0,7D,17,10,0E,Proprietary A,EFFF
-281428000,18FFF8FB,TRUE,Rx,0,8,EB,0,55,0,0,0,0,0,Proprietary B,FFF8
-281427000,10EFAF47,TRUE,Rx,0,8,F0,0D,F2,10,FF,FF,FF,FF,Proprietary A,EFAF
-281427000,08FF4803,TRUE,Rx,0,8,19,19,19,19,5,0,5F,0,Proprietary B,FF48
-281427000,04FF4903,TRUE,Rx,0,8,20,20,0,2,88,13,88,13,Proprietary B,FF49
-281427000,08FF5003,TRUE,Rx,0,8,30,75,30,75,0,0,FE,5A,Proprietary D,FF50
-281426000,04F00203,TRUE,Rx,0,8,CC,0,0,FF,FF,20,1C,FF,Electronic Transmission Controller 1,F002
-281426000,04FE4A03,TRUE,Rx,0,8,FF,3F,0,7D,FC,FF,FF,FF,Electronic Transmission Controller 7,FE4A
-281426000,0800FF03,TRUE,Rx,0,8,DF,80,3E,FA,FF,FF,FF,26,Proprietary E,00FF
-281425000,0CFDD8F6,TRUE,Rx,0,8,1,0,FF,FF,FF,FF,FF,FF,Basic Joystick Message 2,FDD8
-281424000,0CFFF336,TRUE,Rx,0,8,5,C4,3,FF,FF,FF,FF,FF,Proprietary B,FFF3
-281423000,0CFDDA36,TRUE,Rx,0,8,1,0,1,0,FF,0,0,0,Basic Joystick Message 3,FDDA
-281422000,0CF00300,TRUE,Rx,0,8,FF,FE,1C,FF,FF,FF,99,FF,Electronic Engine Controller 2,F003
-281422000,04F00332,TRUE,Rx,0,8,FF,0,1C,0,0,FF,FF,FF,Electronic Engine Controller 2,F003
-281421000,0CF00400,TRUE,Rx,0,8,F0,FF,92,22,1C,FF,F0,FF,Electronic Engine Controller 1,F004
-281421000,18FEEE00,TRUE,Rx,0,8,58,43,FF,FF,FF,FF,FF,FF,Engine Temperature 1,FEEE
-281420000,04FF5205,TRUE,Rx,0,8,DF,64,7D,E8,C4,0,FF,FC,Proprietary B,FF52
-281420000,0CFF7105,TRUE,Rx,0,8,FF,0,FF,FF,FF,FF,1F,84,Proprietary B,FF71
-281419000,04FF5105,TRUE,Rx,0,8,7F,0,0,FF,0,A7,F0,FF,Proprietary C,FF51
